,Sentence,scores,compound,pos,neg,type
24,The company closed last year with a turnover of about four million euros .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
25,Shire CEO steps up drive to get Baxalta board talking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
26,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.34}",0.34,0.286,0.0,POS
27,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .","{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.147,NEG
28,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4588}",0.4588,0.094,0.0,POS
29,All are welcome .,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}",0.4588,0.6,0.0,POS
30,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.6597}",0.6597,0.144,0.0,POS
31,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
32,`` We are pleased to welcome Tapeks Noma into Cramo group .,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.7096}",0.7096,0.396,0.0,POS
33,- Profit before taxes was EUR 105.9 82.7 million .,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,0.293,0.0,POS
34,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
35,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.121,NEG
36,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.296}",0.296,0.087,0.0,POS
37,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .","{'neg': 0.073, 'neu': 0.857, 'pos': 0.07, 'compound': -0.0258}",-0.0258,0.07,0.073,NEG
38,In 2005 the bank posted a net profit of Lt 8.2 mn .,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.4404,0.225,0.0,POS
39,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,"{'neg': 0.319, 'neu': 0.563, 'pos': 0.117, 'compound': -0.6486}",-0.6486,0.117,0.319,NEG
40,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.4939,0.144,0.0,POS
41,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .","{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.4019}",-0.4019,0.0,0.097,NEG
42,InterContinental Hotels first-quarter global room revenue lags estimates,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}",-0.3612,0.0,0.263,NEG
43,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.3182}",0.3182,0.105,0.0,POS
44,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .","{'neg': 0.107, 'neu': 0.754, 'pos': 0.139, 'compound': 0.2023}",0.2023,0.139,0.107,POS
45,"L&G still paying price for dividend cut during crisis, chief says","{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.7351}",-0.7351,0.0,0.408,NEG
46,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
47,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
48,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.4019}",0.4019,0.125,0.0,POS
49,Profit of the accounting period was EUR 0.3 mn .,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,0.266,0.0,POS
50,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",0.3818,0.102,0.0,POS
51,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
52,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .","{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",0.4215,0.177,0.0,POS
53,Tesco share price jumps as Q3 sales top estimates,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.4588}",0.4588,0.364,0.0,POS
54,The fine print is here .,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}",0.2023,0.31,0.0,POS
55,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.7003}",0.7003,0.266,0.0,POS
56,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .","{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.5423}",0.5423,0.134,0.0,POS
57,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.296}",0.296,0.167,0.0,POS
58,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .","{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0.0,0.162,NEG
59,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
60,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,"{'neg': 0.114, 'neu': 0.766, 'pos': 0.12, 'compound': 0.0323}",0.0323,0.12,0.114,POS
61,The firm generated sales of 187 mln eur in 2005 .,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0.0,0.313,NEG
62,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.1779}",0.1779,0.066,0.0,POS
63,AstraZeneca profit down as sales of stalwarts fade,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,0.293,0.0,POS
64,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.1779}",-0.1779,0.0,0.116,NEG
65,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
66,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
67,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .","{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.5267}",0.5267,0.253,0.0,POS
68,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
69,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .","{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.7096}",-0.7096,0.0,0.174,NEG
70,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
71,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,0.153,0.0,POS
72,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8271}",0.8271,0.339,0.0,POS
73,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .","{'neg': 0.056, 'neu': 0.831, 'pos': 0.112, 'compound': 0.3182}",0.3182,0.112,0.056,POS
74,US sanctions put Gazprom-Shell alliance plans in jeopardy,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.307,NEG
75,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,0.172,0.0,POS
76,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,0.195,0.0,POS
77,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,0.153,0.0,POS
78,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}",0.3818,0.191,0.0,POS
79,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.4404,0.225,0.0,POS
80,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .","{'neg': 0.067, 'neu': 0.869, 'pos': 0.064, 'compound': -0.0202}",-0.0202,0.064,0.067,NEG
81,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
82,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4767}",0.4767,0.124,0.0,POS
83,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.5719}",0.5719,0.164,0.0,POS
84,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .","{'neg': 0.103, 'neu': 0.856, 'pos': 0.042, 'compound': -0.4939}",-0.4939,0.042,0.103,NEG
85,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.5994}",0.5994,0.224,0.0,POS
86,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
87,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
88,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
89,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",0.2732,0.08,0.0,POS
90,$YANG Double bottom 5.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
91,Tesco share price down as grocer faces SFO investigation outcome,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.296,0.196,0.0,POS
92,$aapl news is becoming very bullish again http://stks.co/tMU,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
93,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}",0.3612,0.088,0.0,POS
94,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.6124}",0.6124,0.194,0.0,POS
95,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.109,NEG
96,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.4939,0.144,0.0,POS
97,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.765}",-0.765,0.0,0.202,NEG
98,$TSLA recall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
99,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","{'neg': 0.08, 'neu': 0.839, 'pos': 0.08, 'compound': 0.0}",0.0,0.08,0.08,NEUTRAL
100,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,"{'neg': 0.213, 'neu': 0.662, 'pos': 0.125, 'compound': -0.296}",-0.296,0.125,0.213,NEG
101,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.145,NEG
102,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.34}",0.34,0.103,0.0,POS
103,The value of the orders is over EUR 10mn .,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.34,0.231,0.0,POS
104,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",0.3182,0.103,0.0,POS
105,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6705}",0.6705,0.255,0.0,POS
106,Aberdeen Asset Management Gains Foothold In China,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.5994}",0.5994,0.495,0.0,POS
107,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.6597}",-0.6597,0.0,0.241,NEG
108,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
109,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
110,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
111,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.7184}",0.7184,0.207,0.0,POS
112,$GOOGL is a short below 740 into the upper BB and is overbought,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
113,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .","{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.7506}",0.7506,0.252,0.0,POS
114,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .","{'neg': 0.214, 'neu': 0.613, 'pos': 0.173, 'compound': -0.128}",-0.128,0.173,0.214,NEG
115,The total value of the contract is some EUR 8 million .,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}",0.34,0.211,0.0,POS
116,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.7184}",0.7184,0.194,0.0,POS
117,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
118,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4939}",0.4939,0.118,0.0,POS
119,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
120,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.743}",0.743,0.154,0.0,POS
121,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.084,NEG
122,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.6369}",0.6369,0.426,0.0,POS
123,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
124,$AAPL nibbling on a small long via 525.. buying off 13min charts..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
125,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
126,"$TYC just about to break out to new highs, lots of technicals looking great right now.","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6249}",0.6249,0.215,0.0,POS
